# I(Q)
#Q (1/A)	I (1/cm)	dI (1/cm)	dQ (1/A)
3.837000E-03	4.324000E+01	7.971000E-01	1.086000E-03
4.241000E-03	3.351000E+01	5.268000E-01	1.087000E-03
4.645000E-03	2.788000E+01	3.346000E-01	1.089000E-03
5.049000E-03	2.517000E+01	3.076000E-01	1.093000E-03
5.453000E-03	2.305000E+01	2.850000E-01	1.097000E-03
5.857000E-03	2.199000E+01	2.305000E-01	1.102000E-03
6.261000E-03	2.130000E+01	2.434000E-01	1.107000E-03
6.665000E-03	2.079000E+01	2.349000E-01	1.113000E-03
7.069000E-03	2.067000E+01	2.231000E-01	1.119000E-03
7.473000E-03	2.018000E+01	2.171000E-01	1.126000E-03
7.876000E-03	2.024000E+01	2.136000E-01	1.134000E-03
8.280000E-03	1.968000E+01	1.885000E-01	1.141000E-03
8.684000E-03	2.007000E+01	2.130000E-01	1.150000E-03
9.088000E-03	1.996000E+01	1.855000E-01	1.158000E-03
9.492000E-03	1.984000E+01	1.947000E-01	1.167000E-03
9.896000E-03	2.040000E+01	1.876000E-01	1.176000E-03
1.030000E-02	2.018000E+01	1.936000E-01	1.186000E-03
1.070000E-02	2.007000E+01	1.509000E-01	1.196000E-03
1.111000E-02	2.014000E+01	1.607000E-01	1.206000E-03
1.151000E-02	2.044000E+01	1.837000E-01	1.217000E-03
1.192000E-02	2.078000E+01	1.551000E-01	1.228000E-03
1.232000E-02	2.084000E+01	1.825000E-01	1.239000E-03
1.263000E-02	2.077000E+01	9.588000E-02	2.214000E-03
1.272000E-02	2.088000E+01	1.702000E-01	1.251000E-03
1.313000E-02	2.071000E+01	1.534000E-01	1.263000E-03
1.353000E-02	2.122000E+01	1.424000E-01	1.275000E-03
1.393000E-02	2.148000E+01	1.579000E-01	1.287000E-03
1.396000E-02	2.132000E+01	9.131000E-02	2.234000E-03
1.434000E-02	2.157000E+01	1.622000E-01	1.300000E-03
1.474000E-02	2.141000E+01	1.484000E-01	1.312000E-03
1.515000E-02	2.151000E+01	1.528000E-01	1.325000E-03
1.529000E-02	2.159000E+01	8.729000E-02	2.257000E-03
1.555000E-02	2.179000E+01	1.506000E-01	1.339000E-03
1.595000E-02	2.173000E+01	1.542000E-01	1.352000E-03
1.636000E-02	2.193000E+01	1.505000E-01	1.366000E-03
1.662000E-02	2.182000E+01	7.994000E-02	2.282000E-03
1.676000E-02	2.168000E+01	1.505000E-01	1.380000E-03
1.717000E-02	2.201000E+01	1.488000E-01	1.394000E-03
1.757000E-02	2.207000E+01	1.397000E-01	1.408000E-03
1.795000E-02	2.207000E+01	7.376000E-02	2.310000E-03
1.797000E-02	2.185000E+01	1.365000E-01	1.423000E-03
1.838000E-02	2.210000E+01	1.460000E-01	1.437000E-03
1.878000E-02	2.235000E+01	1.340000E-01	1.452000E-03
1.918000E-02	2.202000E+01	1.342000E-01	1.467000E-03
1.928000E-02	2.222000E+01	8.112000E-02	2.339000E-03
1.959000E-02	2.220000E+01	1.396000E-01	1.482000E-03
1.999000E-02	2.234000E+01	1.437000E-01	1.497000E-03
2.040000E-02	2.249000E+01	1.295000E-01	1.513000E-03
2.061000E-02	2.230000E+01	7.281000E-02	2.371000E-03
2.080000E-02	2.214000E+01	1.326000E-01	1.529000E-03
2.120000E-02	2.233000E+01	1.393000E-01	1.544000E-03
2.161000E-02	2.217000E+01	1.302000E-01	1.560000E-03
2.194000E-02	2.213000E+01	7.357000E-02	2.404000E-03
2.201000E-02	2.214000E+01	1.359000E-01	1.576000E-03
2.241000E-02	2.209000E+01	1.306000E-01	1.592000E-03
2.282000E-02	2.211000E+01	1.216000E-01	1.609000E-03
2.322000E-02	2.200000E+01	1.304000E-01	1.625000E-03
2.327000E-02	2.199000E+01	6.443000E-02	2.439000E-03
2.363000E-02	2.179000E+01	1.256000E-01	1.642000E-03
2.403000E-02	2.217000E+01	1.320000E-01	1.658000E-03
2.443000E-02	2.180000E+01	1.244000E-01	1.675000E-03
2.460000E-02	2.171000E+01	6.674000E-02	2.476000E-03
2.484000E-02	2.155000E+01	1.448000E-01	1.692000E-03
2.524000E-02	2.151000E+01	1.333000E-01	1.709000E-03
2.564000E-02	2.162000E+01	1.402000E-01	1.726000E-03
2.593000E-02	2.131000E+01	6.756000E-02	2.514000E-03
2.605000E-02	2.154000E+01	1.576000E-01	1.743000E-03
2.645000E-02	2.128000E+01	1.589000E-01	1.761000E-03
2.685000E-02	2.096000E+01	1.761000E-01	1.778000E-03
2.726000E-02	2.088000E+01	5.723000E-02	2.553000E-03
2.726000E-02	2.101000E+01	1.518000E-01	1.795000E-03
2.766000E-02	2.097000E+01	1.811000E-01	1.813000E-03
2.807000E-02	2.102000E+01	1.773000E-01	1.831000E-03
2.847000E-02	2.028000E+01	1.711000E-01	1.848000E-03
2.859000E-02	2.032000E+01	5.887000E-02	2.594000E-03
2.887000E-02	2.046000E+01	1.930000E-01	1.866000E-03
2.928000E-02	1.997000E+01	1.959000E-01	1.884000E-03
2.968000E-02	1.991000E+01	2.034000E-01	1.902000E-03
2.991000E-02	1.982000E+01	5.671000E-02	2.637000E-03
3.008000E-02	1.974000E+01	2.144000E-01	1.920000E-03
3.049000E-02	1.972000E+01	1.799000E-01	1.938000E-03
3.089000E-02	1.966000E+01	2.168000E-01	1.956000E-03
3.124000E-02	1.922000E+01	5.212000E-02	2.680000E-03
3.257000E-02	1.862000E+01	5.363000E-02	2.725000E-03
3.390000E-02	1.799000E+01	4.735000E-02	2.771000E-03
3.523000E-02	1.728000E+01	5.306000E-02	2.817000E-03
3.656000E-02	1.668000E+01	4.730000E-02	2.865000E-03
3.788000E-02	1.594000E+01	4.924000E-02	2.914000E-03
3.798000E-02	1.550000E+01	1.101000E-01	4.489000E-03
3.921000E-02	1.529000E+01	4.410000E-02	2.964000E-03
4.054000E-02	1.466000E+01	4.663000E-02	3.014000E-03
4.187000E-02	1.404000E+01	4.124000E-02	3.066000E-03
4.197000E-02	1.366000E+01	1.062000E-01	4.587000E-03
4.320000E-02	1.333000E+01	3.866000E-02	3.118000E-03
